ds,y,crop,market
2023-09-05,2154.76,rice,patna
2023-09-06,2111.62,rice,patna
2023-09-07,2239.73,rice,patna
2023-09-08,2277.52,rice,patna
2023-09-09,2142.46,rice,patna
2023-09-10,2197.91,rice,patna
2023-09-11,2291.39,rice,patna
2023-09-12,2276.39,rice,patna
2023-09-13,2296.62,rice,patna
2023-09-14,2248.73,rice,patna
2023-09-15,2336.71,rice,patna
2023-09-16,2318.88,rice,patna
2023-09-17,2263.26,rice,patna
2023-09-18,2301.81,rice,patna
2023-09-19,2243.38,rice,patna
2023-09-20,2147.06,rice,patna
2023-09-21,2191.24,rice,patna
2023-09-22,2096.03,rice,patna
2023-09-23,2177.19,rice,patna
2023-09-24,2109.55,rice,patna
2023-09-25,2089.75,rice,patna
2023-09-26,2055.0,rice,patna
2023-09-27,2157.6,rice,patna
2023-09-28,2085.4,rice,patna
2023-09-29,2079.5,rice,patna
2023-09-30,2098.24,rice,patna
2023-10-01,2166.32,rice,patna
2023-10-02,2180.78,rice,patna
2023-10-03,2210.33,rice,patna
2023-10-04,2240.56,rice,patna
2023-10-05,2365.05,rice,patna
2023-10-06,2255.26,rice,patna
2023-10-07,2278.59,rice,patna
2023-10-08,2288.81,rice,patna
2023-10-09,2390.87,rice,patna
2023-10-10,2438.27,rice,patna
2023-10-11,2384.13,rice,patna
2023-10-12,2352.97,rice,patna
2023-10-13,2356.94,rice,patna
2023-10-14,2435.48,rice,patna
2023-10-15,2432.55,rice,patna
2023-10-16,2408.56,rice,patna
2023-10-17,2324.84,rice,patna
2023-10-18,2353.58,rice,patna
2023-10-19,2324.26,rice,patna
2023-10-20,2305.67,rice,patna
2023-10-21,2317.33,rice,patna
2023-10-22,2258.6,rice,patna
2023-10-23,2262.81,rice,patna
2023-10-24,2211.65,rice,patna
2023-10-25,2210.48,rice,patna
2023-10-26,2220.82,rice,patna
2023-10-27,2102.83,rice,patna
2023-10-28,2167.87,rice,patna
2023-10-29,2167.66,rice,patna
2023-10-30,2171.84,rice,patna
2023-10-31,2210.15,rice,patna
2023-11-01,2329.99,rice,patna
2023-11-02,2225.93,rice,patna
2023-11-03,2354.84,rice,patna
2023-11-04,2238.19,rice,patna
2023-11-05,2341.45,rice,patna
2023-11-06,2396.71,rice,patna
2023-11-07,2445.52,rice,patna
2023-11-08,2474.52,rice,patna
2023-11-09,2496.89,rice,patna
2023-11-10,2446.96,rice,patna
2023-11-11,2448.13,rice,patna
2023-11-12,2522.47,rice,patna
2023-11-13,2460.77,rice,patna
2023-11-14,2391.69,rice,patna
2023-11-15,2385.1,rice,patna
2023-11-16,2378.16,rice,patna
2023-11-17,2433.98,rice,patna
2023-11-18,2390.01,rice,patna
2023-11-19,2394.45,rice,patna
2023-11-20,2307.22,rice,patna
2023-11-21,2314.81,rice,patna
2023-11-22,2318.12,rice,patna
2023-11-23,2247.6,rice,patna
2023-11-24,2274.8,rice,patna
2023-11-25,2203.2,rice,patna
2023-11-26,2214.91,rice,patna
2023-11-27,2214.75,rice,patna
2023-11-28,2176.44,rice,patna
2023-11-29,2280.79,rice,patna
2023-11-30,2244.86,rice,patna
2023-12-01,2292.19,rice,patna
2023-12-02,2342.05,rice,patna
